Question_NO,Question_EN
Hvor lang permisjon får jeg ved fødsel?,How long leave do I get in the event of childbirth?
Hva er fødselspermisjonens varighet?,What is the duration of maternity leave?
Hvor lenge kan jeg være borte fra jobb ved fødsel?,How long can I be away from work during childbirth?
Hva er reglene for fri ved fødsel?,What are the rules for time off at birth?
Hva er personvernlovene?,What are the privacy laws?
Hva sier lovene om personvern?,What do the laws say about privacy?
Hva er reglene for personvern?,What is the privacy policy?
Hvordan er personvernet beskyttet av lovene?,How is privacy protected by laws?
Hva går personvernlovene ut på?,What are the privacy laws?
Hva innebærer personvernlovene?,What do data protection laws entail?
Hvor mye koster helsevesenet?,How much does healthcare cost?
Hva er kostnaden for helsevesenet?,What is the cost of healthcare?
Hvor mye må jeg betale for helsetjenester?,How much do I have to pay for healthcare?
Hva koster det å bruke helsevesenet?,What does it cost to use the healthcare system?
Hva er prisen på helsetjenester?,What is the price of healthcare?
Hvor mye utgjør helsevesenets kostnader?,How much does healthcare cost make up?
Hvem bestemmer hva som skal læres i de offentlige skolene i Norge?,Who decides what is to be taught in the public schools in Norway?
Hvem fastsetter pensum i norske offentlige skoler?,Who sets the curriculum in Norwegian public schools?
Hvem har ansvar for lærestoffet i de offentlige skolene?,Who is responsible for the teaching material in the public schools?
Hvem avgjør undervisningsplanene i Norge?,Who decides the curricula in Norway?
Hvem styrer hva som læres i de offentlige skolene?,Who controls what is taught in the public schools?
Hvem har myndighet over læreplanene i offentlige skoler?,Who has authority over the curricula in public schools?
Hva er den viktigste oppgaven til en fagforening?,What is the most important task of a trade union?
Hva er hovedoppgaven til en fagforening?,What is the main task of a trade union?
Hva gjør en fagforening primært?,What does a union do primarily?
Hva er fagforeningens viktigste funksjon?,What is the union's most important function?
Hva er fagforeningens hovedformål?,What is the main purpose of the trade union?
Hva er kjerneoppgaven til en fagforening?,What is the core mission of a trade union?
Hva har NAV ansvar for?,What is NAV responsible for?
Hva er NAVs ansvarsområde?,What is NAV's area of responsibility?
Hva håndterer NAV?,What does NAV handle?
Hva er NAVs hovedoppgaver?,What are NAV's main tasks?
Hva styrer NAV?,What governs NAV?
Hva er NAVs ansvarsområder?,What are NAV's areas of responsibility?
Hva er barnetrygd?,What is child benefit?
Hva innebærer barnetrygd?,What does child benefit entail?
Hva går barnetrygd ut på?,What is child benefit?
Hva er formålet med barnetrygd?,What is the purpose of child benefit?
Hva er barnetrygdens funksjon?,What is the function of child benefit?
Hva dekker barnetrygd?,What does child benefit cover?
Hva er dugnad?,What is voluntary work?
Hva betyr dugnad?,What does voluntary work mean?
Hva er konseptet med dugnad?,What is the concept of voluntary work?
Hva innebærer en dugnad?,What does a voluntary effort entail?
Hva går dugnad ut på?,What does voluntary work involve?
Hva er formålet med dugnad?,What is the purpose of voluntary work?
Hva er frivillig arbeid?,What is volunteering?
Hva betyr frivillig arbeid?,What does volunteering mean?
Hva går frivillig arbeid ut på?,What is volunteering?
Hva innebærer frivillig arbeid?,What does volunteering involve?
Hva er formålet med frivillig arbeid?,What is the purpose of volunteering?
Hva dekker frivillig arbeid?,What does volunteering cover?
Hvem leverer gaver på julaften?,Who delivers gifts on Christmas Eve?
Hvem kommer med gaver på julaften?,Who brings gifts on Christmas Eve?
Hvem gir ut gaver på julaften?,Who gives out gifts on Christmas Eve?
Hvem deler ut gaver på julaften?,Who hands out gifts on Christmas Eve?
Hvem bringer gaver på julaften?,Who brings gifts on Christmas Eve?
Hvem står for gavene på julaften?,Who is responsible for the gifts on Christmas Eve?
Kan utenlandske statsborgere stemme ved stortingsvalget?,Can foreign citizens vote in the parliamentary election?
Har utenlandske statsborgere stemmerett ved stortingsvalg?,Do foreign nationals have the right to vote in parliamentary elections?
Kan ikke-norske borgere delta i stortingsvalget?,Can non-Norwegian citizens participate in the parliamentary election?
Er utenlandske statsborgere kvalifisert til å stemme ved stortingsvalg?,Are foreign nationals eligible to vote in parliamentary elections?
Kan utlendinger avgi stemme ved stortingsvalget?,Can foreigners vote in the parliamentary election?
Er stemmerett ved stortingsvalg åpen for utenlandske statsborgere?,Is the right to vote in parliamentary elections open to foreign citizens?
Hva er Svalbard?,What is Svalbard?
Hva består Svalbard av?,What does Svalbard consist of?
Hva kjennetegner Svalbard?,What are the characteristics of Svalbard?
Hva finner vi på Svalbard?,What do we find in Svalbard?
Hva beskriver Svalbard?,What does Svalbard describe?
Hva utgjør Svalbard?,What makes up Svalbard?
Hva kaller vi en interesseorganisasjon for arbeidstakere?,What do we call an interest organisation for employees?
Hva heter en arbeidstakerorganisasjon?,What is an employee organization called?
Hva er navnet på en arbeidstakerforening?,What is the name of an employee association?
Hva kaller man en arbeidstakerforening?,What do you call an employee association?
Hva kaller vi en fagorganisasjon for arbeidstakere?,What do we call a trade union for employees?
Hva er betegnelsen på en arbeidstakerorganisasjon?,What is the designation of an employee organization?
Har staten eller kommunene ansvaret for sykehusene?,Are the state or municipalities responsible for the hospitals?
"Hvem styrer sykehusene, staten eller kommunene?","Who governs the hospitals, the state or the municipalities?"
"Hvem har ansvar for sykehusene, staten eller kommunene?","Who is responsible for the hospitals, the state or the municipalities?"
"Hvem administrerer sykehusene, staten eller kommunene?","Who administers the hospitals, the state or the municipalities?"
"Hvem driver sykehusene, staten eller kommunene?","Who runs the hospitals, the state or the municipalities?"
"Hvem kontrollerer sykehusene, staten eller kommunene?","Who controls the hospitals, the state or the municipalities?"
Har barn rett til å gå i barnehage?,Do children have the right to go to kindergarten?
Har barn rett til barnehageplass?,Do children have the right to a kindergarten place?
Kan alle barn gå i barnehage?,Can all children go to kindergarten?
Har barn lovfestet rett til barnehage?,Do children have a statutory right to kindergarten?
Er det rettighet for barn å gå i barnehage?,Is it a right for children to go to kindergarten?
Har barn krav på barnehageplass?,Are children entitled to a kindergarten place?
Hva skjer dersom du har betalt for lite i skatt?,What happens if you have paid too little tax?
Hva er konsekvensene av for lav skattebetaling?,What are the consequences of too low a tax payment?
Hva skjer hvis du skylder skatt?,What happens if you owe taxes?
Hva er følgene av manglende skattebetaling?,What are the consequences of non-payment of tax?
Hva skjer om du betaler for lite skatt?,What happens if you pay too little tax?
Hva er resultatet av å betale for lite skatt?,What is the result of paying too little tax?
Hvem gjelder arbeidsmiljøloven for?,Who does the Working Environment Act apply to?
Hvem omfattes av arbeidsmiljøloven?,Who is covered by the Working Environment Act?
Hvem dekker arbeidsmiljøloven?,Who does the Working Environment Act cover?
Hvem er beskyttet av arbeidsmiljøloven?,Who is protected by the Working Environment Act?
Hvem faller inn under arbeidsmiljøloven?,Who falls under the Working Environment Act?
Hvem er arbeidsmiljøloven til for?,Who is the Working Environment Act for?
Hvor har du rett til tolk?,Where do you have the right to an interpreter?
Hvor kan du kreve tolk?,Where can you require an interpreter?
Hvor er tolk tilgjengelig?,Where is an interpreter available?
Hvor har man krav på tolk?,Where are you entitled to an interpreter?
Hvor kan du få tolk?,Where can you get an interpreter?
Hvor har du rett på tolketjenester?,Where are you entitled to interpreting services?
Hvem bestemmer pensum på skolen?,Who decides the curriculum at school?
Hvem fastsetter skolens pensum?,Who sets the school's curriculum?
Hvem avgjør skolens læreplaner?,Who decides the school's curricula?
Hvem har myndighet over skolepensum?,Who has authority over the school curriculum?
Hvem styrer pensumet på skolen?,Who controls the curriculum at school?
Hvem bestemmer undervisningsinnholdet?,Who decides the teaching content?
Hva må foreldre betale for sine barn?,What do parents have to pay for their children?
Hva er foreldrenes økonomiske ansvar for sine barn?,What are the financial responsibilities of parents for their children?
Hva må foreldre dekke av kostnader for sine barn?,What do parents have to cover in terms of costs for their children?
Hva er foreldre forpliktet til å betale for barna?,What are parents obliged to pay for their children?
Hva må foreldre finansiere for sine barn?,What do parents have to finance for their children?
Hva er foreldre pliktet til å betale for barna?,What are parents obliged to pay for their children?
Hvilke land grenser til meg?,Which countries border me?
Hvilke land ligger ved siden av meg?,What countries are next to me?
Hvilke land deler grense med meg?,Which countries share a border with me?
Hvilke nasjoner grenser mot meg?,Which nations border me?
Hvilke stater er mine naboland?,Which states are my neighboring countries?
Hvilke land er mine naboer?,Which countries are my neighbors?
Hvilken klasse får elever karakterer?,What grade do students get grades?
Når begynner elever å få karakterer?,When do students start getting grades?
Hvilket trinn starter med karakterer?,What step starts with grades?
Fra hvilken klasse gis karakterer?,From which grade are grades given?
Hvilken skoleklasse får første gang karakterer?,Which school class gets first grades?
Når blir elever vurdert med karakterer?,When are students graded?
Hva er hovedstaden?,What is the capital?
Hvilken by er hovedstaden?,Which city is the capital?
Hva heter hovedstaden?,What is the name of the capital?
Hvilken by fungerer som hovedstad?,Which city serves as capital?
Hva er navnet på hovedstaden?,What is the name of the capital?
Hva er landets hovedstad?,What is the country's capital?
Hva er den største byen?,What is the biggest city?
Hvilken by er størst?,Which city is biggest?
Hva er den mest folkerike byen?,What is the most populous city?
Hvilken by har størst befolkning?,Which city has the largest population?
Hva er den største byen i areal?,What is the largest city by area?
Hvilken by er den største?,Which city is the biggest?
Hvor ofte er det valg?,How often are there elections?
Hvor hyppig avholdes valg?,How often are elections held?
Hvor ofte finner valg sted?,How often do elections take place?
Hva er frekvensen av valg?,What is the frequency of choice?
Hvor regelmessig er det valg?,How regular are elections?
Hvor mange ganger holdes valg?,How many times are elections held?
Hvilken by er lengst nord?,Which city is farthest north?
Hva er den nordligste byen?,What is the northernmost city?
Hvilken by ligger lengst mot nord?,Which city is farthest north?
Hvilken by befinner seg lengst nord?,Which city is the farthest north?
Hvilken by er plassert lengst nord?,Which city is located farthest north?
Hva er navnet på den nordligste byen?,What is the name of the northernmost city?
Hva er befolkningen?,What is the population?
Hvor stor er befolkningen?,How big is the population?
Hva er folketallet?,What is the population?
Hvor mange mennesker bor der?,How many people live there?
Hva er innbyggertallet?,What is the population?
Hvor mange personer utgjør befolkningen?,How many people make up the population?
Hvem er hovedleverandøren av offentlig transport?,Who is the main public transport provider?
Hvilket selskap leverer offentlig transport mest?,Which company provides public transport the most?
Hvem står for hoveddelen av offentlig transport?,Who is responsible for the bulk of public transport?
Hvem tilbyr mest offentlig transport?,Who offers the most public transport?
Hvilken aktør dominerer offentlig transport?,Which player dominates public transport?
Hvem er hovedaktøren i offentlig transport?,Who is the main player in public transport?
Hva er de viktigste dyreartene?,What are the main animal species?
Hvilke dyrearter er viktigst?,Which animal species are most important?
Hvilke dyr er mest betydningsfulle?,Which animals are most significant?
Hvilke dyrearter har størst betydning?,Which animal species are most important?
Hva er de mest sentrale dyreartene?,What are the most central animal species?
Hvilke dyrearter er mest fremtredende?,Which animal species are most prominent?
Hva er midnattssolen?,What is the midnight sun?
Hva innebærer midnattssolen?,What does the Midnight Sun mean?
Hva er fenomenet midnattssol?,What is the phenomenon of the midnight sun?
Hva beskriver midnattssolen?,What does the midnight sun describe?
Hva kjennetegner midnattssolen?,What are the characteristics of the Midnight Sun?
Hva betyr midnattssol?,What does the midnight sun mean?
Har hovedstaden noen havner?,Does the capital have any ports?
Finnes det havner i hovedstaden?,Are there ports in the capital?
Har hovedstaden havneanlegg?,Does the capital have port facilities?
Er det noen havner i hovedstaden?,Are there any ports in the capital?
Hvilke havner finnes i hovedstaden?,What ports are there in the capital?
Har hovedstaden tilgang til havner?,Does the capital have access to ports?
Hva er den politiske strukturen?,What is the political structure?
Hvordan er den politiske strukturen?,What is the political structure?
Hva er det politiske systemet?,What is the political system?
Hvordan fungerer den politiske strukturen?,How does the political structure work?
Hva består den politiske strukturen av?,What does the political structure consist of?
Hva kjennetegner den politiske strukturen?,What characterizes the political structure?
Hva er det vanligste språket?,What is the most common language?
Hvilket språk er mest utbredt?,Which language is most widely used?
Hva er hovedspråket?,What is the main language?
Hvilket språk er mest vanlig?,Which language is most common?
Hva er det mest talte språket?,What is the most spoken language?
Hvilket språk brukes mest?,Which language is most used?
Hvilke farger er på flagget?,What colors are on the flag?
Hva er fargene på flagget?,What are the colors of the flag?
Hvilke farger finnes på flagget?,What colors are on the flag?
Hvilke farger inngår i flagget?,What colors are included in the flag?
Hva er flaggets farger?,What are the colors of the flag?
Hvilke nyanser er på flagget?,What shades are on the flag?
Hvor mange kommuner er det?,How many municipalities are there?
Hva er antallet kommuner?,What is the number of municipalities?
Hvor mange kommuner finnes det?,How many municipalities are there?
Hva er tallet på kommuner?,What is the number of municipalities?
Hvor mange kommuner er det totalt?,How many municipalities are there in total?
Hvor mange kommuner eksisterer det?,How many municipalities exist?
Må jeg bære identifikasjon til enhver tid?,Do I have to wear identification at all times?
Er det påkrevd å alltid bære identifikasjon?,Is it required to always carry identification?
Må jeg alltid ha med identifikasjon?,Do I always need to carry identification?
Er det nødvendig å bære identifikasjon hele tiden?,Is it necessary to carry identification all the time?
Må jeg ha identifikasjon på meg til enhver tid?,Do I need to have identification on me at all times?
Er det et krav å alltid bære identifikasjon?,Is it a requirement to always carry identification?
Hvor mange administrative regioner er det?,How many administrative regions are there?
Hva er antallet administrative regioner?,What is the number of administrative regions?
Hvor mange regioner administreres?,How many regions are managed?
Hvor mange administrative regioner finnes det?,How many administrative regions are there?
Hva er tallet på administrative regioner?,What is the number of administrative regions?
Hvor mange slike regioner er det?,How many such regions are there?
Hvor mange kvadratmeter er det i landet?,How many square meters are there in the country?
Hva er landets areal i kvadratmeter?,What is the country's area in square meters?
Hvor stort er landet i kvadratmeter?,How big is the country in square meters?
Hva er størrelsen på landet i kvadratmeter?,What is the size of the land in square meters?
Hvor mange kvadratmeter dekker landet?,How many square meters does the country cover?
Hva er landets totale kvadratmeter?,What is the country's total square meters?
Hvor mange kvadratmiles er det i landet?,How many square miles are in the country?
Hva er landets areal i kvadratmiles?,What is the land area in square miles?
Hvor stort er landet i kvadratmiles?,How big is the land in square miles?
Hva er størrelsen på landet i kvadratmiles?,What is the size of the land in square miles?
Hvor mange kvadratmiles dekker landet?,How many square miles does the country cover?
Hva er landets totale kvadratmiles?,What is the total square miles of the country?
Hvilken prosentandel av befolkningen er innvandrere?,What percentage of the population are immigrants?
Hvor stor andel av befolkningen er innvandrere?,What proportion of the population are immigrants?
Hva er innvandrerprosenten i befolkningen?,What is the immigrant percentage in the population?
Hvor mange prosent av befolkningen utgjør innvandrere?,What percentage of the population make up immigrants?
Hva er andelen innvandrere i befolkningen?,What is the proportion of immigrants in the population?
Hvor stor prosentandel av befolkningen består av innvandrere?,What percentage of the population is made up of immigrants?
Når er den offisielle sørgedagen?,When is the official day of mourning?
Hvilken dato er satt som offisiell sørgedag?,What date is set as the official day of mourning?
På hvilken dag markeres den offisielle sørgedagen?,On what day is the official day of mourning commemorated?
Hvilken dag feires den offisielle sørgedagen?,What day is the official day of mourning celebrated?
Hvilken dag er anerkjent som offisiell sørgedag?,Which day is recognized as an official day of mourning?
Når er grunnlovsdag?,When is Constitution Day?
På hvilken dato feires grunnlovsdagen?,On what date is Constitution Day celebrated?
Hvilken dag markeres grunnlovsdagen?,What day is Constitution Day celebrated?
Når finner grunnlovsdagen sted?,When does Constitution Day take place?
Hva er datoen for grunnlovsdagen?,What is the date of Constitution Day?
Når feires grunnlovsdagen?,When is Constitution Day celebrated?
Hva bør jeg gjøre på søndag?,What should I do on Sunday?
Hva er det lurt å gjøre på søndag?,What is a good thing to do on Sunday?
Hva kan jeg finne på å gjøre på søndag?,What can I do on Sunday?
Har du noen forslag til hva jeg kan gjøre på søndag?,Do you have any suggestions for what I can do on Sunday?
Hva er noen gode aktiviteter for søndag?,What are some good activities for Sunday?
Hva koster mye penger?,What does a lot of money cost?
Hva er kostbart?,What is costly?
Hva har en høy pris?,What has a high price?
Hva er det som er dyrt?,What is it that is expensive?
Hva regnes som dyrt?,What is considered expensive?
Hvordan opptrer folk på bussen?,How do people act on the bus?
Hva er typisk oppførsel på bussen?,What is typical behavior on the bus?
Hvordan pleier folk å oppføre seg på bussen?,How do people usually behave on the bus?
Hva slags adferd er vanlig på bussen?,What kind of behaviour is common on the bus?
Hvordan er folks oppførsel på bussen?,What is people's behavior like on the bus?
Bør jeg ta av meg skoene før jeg går inn i et hjem?,Should I take off my shoes before entering a home?
Er det nødvendig å ta av seg skoene før man går inn i et hjem?,Is it necessary to take off your shoes before entering a home?
Er det forventet at jeg tar av meg skoene før jeg går inn i et hjem?,Am I expected to take off my shoes before entering a home?
Må man ta av seg skoene før man går inn i et hjem?,Do you have to take off your shoes before entering a home?
Skal jeg ta av meg skoene før jeg går inn i et hjem?,Should I take off my shoes before entering a home?
